DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE LOCAL;ESTADO DE REINICIO DE OPERACIONES;HORARIO DE ATENCIÓN AL PUBLICO; DIRECCION 
JUNIN;CHANCHAMAYO;LA MERCED;AG CHANCHAMAYO;OPERATIVO;08:45 a 16:45;Prolongación Tarma Nº 236
JUNIN;CHUPACA;CHUPACA;PAP CHUPACA;OPERATIVO;08:45 a 16:30;Jirón Grau N° 195 - Centro Cívico
JUNIN;CHANCHAMAYO;PICHANAQUI;PAP PICHANAQUI;OPERATIVO;08:45 a 16:45;Jirón Independencia S/N Coliseo Municipal
JUNIN;TARMA;TARMA;ORA DE APOYO FELIX MAYORCA SOTO;DESPLAZAMIENTO;08:45 a 16:30;Avenida Pacheco Nº 362
JUNIN;JAUJA ;JAUJA ;ORA HOSPITAL DOMINGO OLAVEGOYA;DESPLAZAMIENTO;08:45 a 16:30;Jirón San Martín Nº 1153 Urb. Olavegoya 
JUNIN;CHANCHAMAYO ;PICHANAQUI;ORA HOSPITAL DE APOYO PICHANAQUI;OPERATIVO;08:45 a 16:30;Avenida San Martín S/N Pichanaki
JUNIN;HUANCAYO;HUANCAYO;ORA LA LIBERTAD;DESPLAZAMIENTO;08:45 a 16:30;Jirón HUANCAS 695
JUNIN;HUANCAYO;EL TAMBO;ORA HOSPITAL NACIONAL RAMIRO PRIALE;DESPLAZAMIENTO;08:45 a 16:30;Avenida AV. INDEPENDENCIA Nº 266
JUNIN;HUANCAYO;CHILCA;ORA CHILCA;DESPLAZAMIENTO;08:45 a 16:30;Jirón HUMBOLT 900
AYACUCHO;HUAMANGA;AYACUCHO;"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA""";OPERATIVO;08:45 a 16:30;Jirón Av.Daniel Alcides Carrión S/N - 2da cuadra.
AYACUCHO;LA MAR;AYNA;PAP AYNA -SAN FRANCISCO;OPERATIVO;08:45 a 16:45;Avenida 28 de Julio S/N San Francisco
AYACUCHO;HUAMANGA;AYACUCHO;OR HUAMANGA;OPERATIVO;08:45 a 16:45;Jirón San Martin Nº 473, 475, 477 y 477A
AYACUCHO;CANGALLO;CANGALLO;PAP CANGALLO;OPERATIVO;08:45 a 16:45;Jirón Maria Parado de Bellido Nº 205
AYACUCHO;HUANTA;HUANTA;AG HUANTA;OPERATIVO;08:45 a 16:45;Jirón Ayacucho N° 305
AYACUCHO;LA MAR;SAN MIGUEL;PAP LA MAR;OPERATIVO;08:45 a 16:45;Jirón Maria Parado de Bellido S/N 
AYACUCHO;VICTOR FAJARDO;HUANCAPI;PAP VICTOR FAJARDO;OPERATIVO;08:45 a 16:45;- Plaza Principal Nº 127
AYACUCHO;HUANCA SANCOS;SANCOS;PAP HUANCASANCOS;OPERATIVO;08:45 a 16:45;Avenida Progreso S/N Consejo Provincial de Huanca Sancos
AYACUCHO;VILCAS HUAMAN;VILCAS HUAMAN;PAP VILCASHUAMAN;OPERATIVO;08:45 a 16:45;Avenida Los Incas Nº 318
AYACUCHO;SUCRE;QUEROBAMBA;PAP SUCRE;OPERATIVO;08:45 a 16:45;Jirón San Martin S/N  Plaza de Armas Consejo Provincial de Sucre
AYACUCHO;HUANTA;HUANTA;"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION""";OPERATIVO;08:45 a 16:30;Avenida Mariscal Castilla Nº 628
AYACUCHO;LA MAR;SAN MIGUEL;ORA SAN MIGUEL;OPERATIVO;08:45 a 16:30;Avenida Ramon Castilla s/n
AYACUCHO;CANGALLO;CANGALLO;ORA HOSPITAL DE APOYO CANGALLO;OPERATIVO;08:45 a 16:30;Jirón Santa Rosa N° 110
CUSCO;LA CONVENCION;PICHARI;PAP PICHARI;OPERATIVO;08:45 a 16:45;Avenida BRASIL S/N
APURIMAC;CHINCHEROS;CHINCHEROS;PAP CHINCHEROS;OPERATIVO;08:45 a 16:45;Jirón COTABAMBAS N° 121
AYACUCHO;LA MAR;SAMUGARI;PAP SAMUGARI -PALMAPAMPA;OPERATIVO;08:45 a 16:45;Jirón Los Laureles S/N – Palmapampa Distrital de Samugari
AYACUCHO;LA MAR;TAMBO;ORA TAMBO;OPERATIVO;08:45 a 16:30;Jirón Lima s/n
AYACUCHO;HUAMANGA;JESUS NAZARENO;ORA HOSPITAL DE APOYO JESUS NAZARENO;OPERATIVO;08:45 a 16:30;Jirón Ciro Alegría Nº 547
AYACUCHO;VILCAS HUAMAN;VILCAS HUAMAN;ORA VILCASHUAMAN;OPERATIVO;08:45 a 16:30;Avenida Vilcasraymi S/N
APURIMAC;ANDAHUAYLAS;TALAVERA;OR ANDAHUAYLAS;OPERATIVO;08:45 a 16:45;Jirón Amauta N° 311
APURIMAC;CHINCHEROS;ANCCO HUALLO;ORA  CENTRO DE SALUD URIPA ;OPERATIVO;08:45 a 16:30;Avenida  Túpac Amaru S/N – URIPA
APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS ;OPERATIVO;08:45 a 16:30;Avenida Hugo Pesce Pesceto S/N
AYACUCHO;HUANTA;SIVIA;ORA HOSPITAL DE APOYO DE SIVIA;OPERATIVO;08:45 a 16:30;Jirón Gervacio Santillana S/N
CUSCO;LA CONVENCION;KIMBIRI;ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI;OPERATIVO;08:45 a 16:30;Avenida Aeropuerto S/N
CUSCO;LA CONVENCION;PICHARI;ORA HOSPITAL DE APOYO PICHARI;OPERATIVO;08:45 a 16:30;Jirón Amazonas s/n
APURIMAC;CHINCHEROS;CHINCHEROS;ORA HOSPITAL DE APOYO CHINCHEROS;OPERATIVO;08:45 a 16:30;Avenida Fernando Belaunde Terry S/N
AYACUCHO;CANGALLO;LOS MOROCHUCOS;ORA PAMPA CANGALLO;OPERATIVO;08:45 a 16:30;Avenida María Arguedas S/N
